enum,key,descr,Country,code,addr,city
JP_SSNB,enum_bank_jp_ssnb,"SBI SUMISHIN NET BANK, LTD.",Country.JP,0038,,
JP_AB,enum_bank_jp_ab,"AEON BANK, LTD.",Country.JP,0040,,
JP_HKB,enum_bank_jp_hkb,"THE HOKKAIDO BANK , LTD.",Country.JP,0116,,
JP_AMB,enum_bank_jp_amb,"THE AOMORI BANK , LTD.",Country.JP,0117,,
JP_MB,enum_bank_jp_mb,"THE MICHINOKU BANK , LTD.",Country.JP,0118,,
JP_AKTB,enum_bank_jp_aktb,"THE AKITA BANK , LTD.",Country.JP,0119,,
JP_HKTB,enum_bank_jp_hktb,"THE HOKUTO BANK , LTD.",Country.JP,0120,,
JP_SNIB,enum_bank_jp_snib,"THE SHONAI BANK , LTD.",Country.JP,0121,,
JP_YMGTB,enum_bank_jp_ymgtb,"THE YAMAGATA BANK , LTD.",Country.JP,0122,,
JP_BOI,enum_bank_jp_boi,"THE BANK OF IWATE , LTD.",Country.JP,0123,,
JP_THKB,enum_bank_jp_thkb,"THE TOHOKU BANK , LTD.",Country.JP,0124,,
JP_SSB,enum_bank_jp_ssb,"THE 77 BANK , LTD.",Country.JP,0125,,
JP_THB,enum_bank_jp_thb,"THE TOHO BANK , LTD.",Country.JP,0126,,
JP_GMB,enum_bank_jp_gmb,"THE GUNMA BANK , LTD.",Country.JP,0128,,
JP_ASKGB,enum_bank_jp_askgb,"THE ASHIKAGA BANK , LTD.",Country.JP,0129,,
JP_JYB,enum_bank_jp_jyb,"THE JOYO BANK , LTD.",Country.JP,0130,,
JP_TSKB,enum_bank_jp_tskb,"TSUKUBA BANK , LTD.",Country.JP,0131,,
JP_MSSNB,enum_bank_jp_mssnb,"THE MUSASHINO BANK , LTD.",Country.JP,0133,,
JP_CBB,enum_bank_jp_cbb,"THE CHIBA BANK , LTD.",Country.JP,0134,,
JP_CB,enum_bank_jp_cb,"THE CHIBA KOGYO BANK , LTD.",Country.JP,0135,,
JP_TKTMB,enum_bank_jp_tktmb,"THE TOKYO TOMIN BANK , LTD.",Country.JP,0137,,
JP_YKHM,enum_bank_jp_ykgm,"THE BANK OF YOKOHAMA , LTD.",Country.JP,0138,,
JP_DSB,enum_bank_jp_dsb,"THE DAISHI BANK , LTD.",Country.JP,0140,,
JP_HKSB,enum_bank_jp_hksb,"THE HOKUETSU BANK , LTD.",Country.JP,0141,,
JP_YMNSB,enum_bank_jp_ymnsb,"THE YAMANASHI CHUO BANK , LTD.",Country.JP,0142,,
JP_HCJNB,enum_bank_jp_hcjnb,"THE HACHIJUNI BANK , LTD.",Country.JP,0143,,
JP_HKRKB,enum_bank_jp_hkrkb,"THE HOKURIKU BANK , LTD.",Country.JP,0144,,
JP_TYMB,enum_bank_jp_tymb,The BANK OF TOYAMA，LTD．,Country.JP,0145,,
JP_HKKB,enum_bank_jp_hkkb,"THE HOKKOKU BANK , LTD.",Country.JP,0146,,
JP_FKB,enum_bank_jp_fkb,"THE FUKUI BANK , LTD.",Country.JP,0147,,
JP_SZOKB,enum_bank_jp_szokb,"THE SHIZUOKA BANK , LTD.",Country.JP,0149,,
JP_SRGB,enum_bank_jp_srgb,SURUGA BANK LTD.,Country.JP,0150,,
JP_SMZB,enum_bank_jp_smzb,"THE SHIMIZU BANK , LTD.",Country.JP,0151,,
JP_OGKB,enum_bank_jp_ogkb,"THE OGAKI KYORITSU BANK , LTD.",Country.JP,0152,,
JP_JRKB,enum_bank_jp_jrkb,"THE JUROKU BANK , LTD.",Country.JP,0153,,
JP_MIEB,enum_bank_jp_mieb,"THE MIE BANK , LTD.",Country.JP,0154,,
